,Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Year,Office
0,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/25/2011,15,2011.0,School Board Ward 8
1,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/25/2011,1,2011.0,School Board Ward 8
2,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,3/14/2011,2,2011.0,School Board Ward 8
3,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,3/14/2011,2,2011.0,School Board Ward 8
4,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,3/18/2011,2,2011.0,School Board Ward 8
5,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,3/24/2011,5,2011.0,School Board Ward 8
6,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,3/24/2011,1,2011.0,School Board Ward 8
7,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/5/2011,1,2011.0,School Board Ward 8
8,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/5/2011,2,2011.0,School Board Ward 8
9,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/5/2011,4,2011.0,School Board Ward 8
10,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/5/2011,2,2011.0,School Board Ward 8
11,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/5/2011,4,2011.0,School Board Ward 8
12,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/7/2011,2,2011.0,School Board Ward 8
13,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,4/16/2011,2,2011.0,School Board Ward 8
14,Tijwanna U Phillips ,All About the Children/T. Phillips,Individual,3/7/2011,2,2011.0,School Board Ward 8
15,Tijwanna U Phillips ,All About the Children/T. Phillips,Business,3/7/2011,2,2011.0,School Board Ward 8
16,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,2,2011.0,School Board Ward 4
17,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,1,2011.0,School Board Ward 4
18,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,2,2011.0,School Board Ward 4
19,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,5,2011.0,School Board Ward 4
20,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,1,2011.0,School Board Ward 4
21,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,15,2011.0,School Board Ward 4
22,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,5,2011.0,School Board Ward 4
23,Andrew Moss ,Andrew Moss for Ward 4,Business,4/19/2011,2,2011.0,School Board Ward 4
24,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,2,2011.0,School Board Ward 4
25,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,5,2011.0,School Board Ward 4
26,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,5,2011.0,School Board Ward 4
27,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,4,2011.0,School Board Ward 4
28,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,1,2011.0,School Board Ward 4
29,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,25,2011.0,School Board Ward 4
30,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/20/2011,1,2011.0,School Board Ward 4
31,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/22/2011,2,2011.0,School Board Ward 4
32,Andrew Moss ,Andrew Moss for Ward 4,Business,4/22/2011,2,2011.0,School Board Ward 4
33,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/22/2011,1,2011.0,School Board Ward 4
34,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/22/2011,2,2011.0,School Board Ward 4
35,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/22/2011,5,2011.0,School Board Ward 4
36,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,15,2011.0,School Board Ward 4
37,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/19/2011,1,2011.0,School Board Ward 4
38,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/22/2011,5,2011.0,School Board Ward 4
39,Andrew Moss ,Andrew Moss for Ward 4,Corporate Sponsored PAC,4/21/2011,2,2011.0,School Board Ward 4
40,Andrew Moss ,Andrew Moss for Ward 4,Individual,3/11/2011,5,2011.0,School Board Ward 4
41,Andrew Moss ,Andrew Moss for Ward 4,Individual,3/13/2011,1,2011.0,School Board Ward 4
42,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/21/2011,1,2011.0,School Board Ward 4
43,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/1/2011,2,2011.0,School Board Ward 4
44,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/7/2011,2,2011.0,School Board Ward 4
45,Andrew Moss ,Andrew Moss for Ward 4,Individual,4/7/2011,2,2011.0,School Board Ward 4
46,Andrew Moss ,Andrew Moss for Ward 4,Business,4/12/2011,2,2011.0,School Board Ward 4
47,Andrew Moss ,Andrew Moss for Ward 4,Business,4/12/2011,2,2011.0,School Board Ward 4
48,Andrew Moss ,Andrew Moss for Ward 4,Individual,2/12/2011,2,2011.0,School Board Ward 4
49,Andrew Moss ,Andrew Moss for Ward 4,Individual,2/4/2011,1,2011.0,School Board Ward 4
50,Andrew Moss ,Andrew Moss for Ward 4,Candidate,2/9/2011,3,2011.0,School Board Ward 4
51,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/11/2011,39,2011.0,School Board Ward 4
52,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/11/2011,104.94,2011.0,School Board Ward 4
53,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/12/2011,1682.48,2011.0,School Board Ward 4
54,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/12/2011,15,2011.0,School Board Ward 4
55,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/12/2011,2,2011.0,School Board Ward 4
56,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/12/2011,25,2011.0,School Board Ward 4
57,Andrew Moss ,Andrew Moss for Ward 4,Candidate,4/21/2011,493.92,2011.0,School Board Ward 4
58,Andrew Moss ,Andrew Moss for Ward 4,Candidate,7/27/2011,1.11,2011.0,School Board Ward 4
59,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,4/19/2011,1,2011.0,Council At-Large
60,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,6/10/2011,1.12,2011.0,Council At-Large
61,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/27/2011,25,2011.0,Council At-Large
62,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/23/2011,25,2011.0,Council At-Large
63,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,1,2011.0,Council At-Large
64,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,3/8/2011,2,2011.0,Council At-Large
65,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,1,2011.0,Council At-Large
66,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,5,2011.0,Council At-Large
67,Arkan Haile ,Arkan Haile for D.C. City Council,Organization,6/1/2011,0.56,2011.0,Council At-Large
68,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,,2011.0,Council At-Large
69,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,2,2011.0,Council At-Large
70,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,1,2011.0,Council At-Large
71,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,125,2011.0,Council At-Large
72,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/10/2011,125,2011.0,Council At-Large
73,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,125,2011.0,Council At-Large
74,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,125,2011.0,Council At-Large
75,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,5,2011.0,Council At-Large
76,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,5,2011.0,Council At-Large
77,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,5,2011.0,Council At-Large
78,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,2,2011.0,Council At-Large
79,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,2,2011.0,Council At-Large
80,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/4/2011,1,2011.0,Council At-Large
81,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/24/2011,25,2011.0,Council At-Large
82,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/24/2011,25,2011.0,Council At-Large
83,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/24/2011,2,2011.0,Council At-Large
84,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,2/1/2011,1,2011.0,Council At-Large
85,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,5,2011.0,Council At-Large
86,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,1/21/2011,5,2011.0,Council At-Large
87,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,1/2/2011,1,2011.0,Council At-Large
88,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
89,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
90,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,45,2011.0,Council At-Large
91,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
92,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,2,2011.0,Council At-Large
93,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,2,2011.0,Council At-Large
94,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
95,Arkan Haile ,Arkan Haile for D.C. City Council,Corporation,12/23/2010,1,2011.0,Council At-Large
96,Arkan Haile ,Arkan Haile for D.C. City Council,Corporation,12/23/2010,1,2011.0,Council At-Large
97,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
98,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,5,2011.0,Council At-Large
99,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,12,2011.0,Council At-Large
100,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
101,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,5,2011.0,Council At-Large
102,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,12,2011.0,Council At-Large
103,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
104,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,1/12/2011,25,2011.0,Council At-Large
105,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/29/2010,25,2011.0,Council At-Large
106,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,1/17/2011,2,2011.0,Council At-Large
107,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,1/18/2011,1,2011.0,Council At-Large
108,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,1/21/2011,4,2011.0,Council At-Large
109,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,2,2011.0,Council At-Large
110,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,2,2011.0,Council At-Large
111,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
112,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
113,Arkan Haile ,Arkan Haile for D.C. City Council,Individual,12/23/2010,1,2011.0,Council At-Large
114,Arkan Haile ,Arkan Haile for D.C. City Council,Other,3/30/2011,15,2011.0,Council At-Large
115,Alan Page ,Committee to Elect Alan Page,Individual,5/8/2011,1,2011.0,Council At-Large
116,Alan Page ,Committee to Elect Alan Page,Individual,6/15/2011,1,2011.0,Council At-Large
117,Alan Page ,Committee to Elect Alan Page,Individual,4/20/2011,2,2011.0,Council At-Large
118,Alan Page ,Committee to Elect Alan Page,Individual,2/4/2011,5,2011.0,Council At-Large
119,Alan Page ,Committee to Elect Alan Page,Individual,3/2/2011,5,2011.0,Council At-Large
120,Alan Page ,Committee to Elect Alan Page,Individual,3/7/2011,5,2011.0,Council At-Large
121,Alan Page ,Committee to Elect Alan Page,Individual,3/8/2011,25,2011.0,Council At-Large
122,Alan Page ,Committee to Elect Alan Page,Candidate,2/1/2011,49.52,2011.0,Council At-Large
123,Alan Page ,Committee to Elect Alan Page,Candidate,3/9/2011,167.48,2011.0,Council At-Large
124,Alan Page ,Committee to Elect Alan Page,Individual,2/23/2011,5,2011.0,Council At-Large
125,Alan Page ,Committee to Elect Alan Page,Individual,3/3/2011,1,2011.0,Council At-Large
126,Alan Page ,Committee to Elect Alan Page,Individual,3/24/2011,1,2011.0,Council At-Large
127,Alan Page ,Committee to Elect Alan Page,Individual,4/5/2011,25,2011.0,Council At-Large
128,Alan Page ,Committee to Elect Alan Page,Business,2/18/2011,0.18,2011.0,Council At-Large
129,Alan Page ,Committee to Elect Alan Page,Individual,3/1/2011,25,2011.0,Council At-Large
130,Alan Page ,Committee to Elect Alan Page,Individual,3/2/2011,27.5,2011.0,Council At-Large
131,Alan Page ,Committee to Elect Alan Page,Individual,2/4/2011,3,2011.0,Council At-Large
132,Alan Page ,Committee to Elect Alan Page,Individual,4/18/2011,25,2011.0,Council At-Large
133,Alan Page ,Committee to Elect Alan Page,Individual,10/10/2011,5,2011.0,Council At-Large
134,Alan Page ,Committee to Elect Alan Page,Individual,1/13/2011,1,2011.0,Council At-Large
135,Alan Page ,Committee to Elect Alan Page,Individual,3/12/2011,2,2011.0,Council At-Large
136,Alan Page ,Committee to Elect Alan Page,Individual,3/12/2011,5,2011.0,Council At-Large
