,Candidate Name,Committee Name,Contributor Type,Date of Receipt,Amount,Year,Office
0,Anita Bonds ,Bonds for Council,Individual,4/16/2013,25,2013.0,Council At-Large
1,Anita Bonds ,Bonds for Council,Labor Sponsored PAC,4/22/2013,1,2013.0,Council At-Large
2,Anita Bonds ,Bonds for Council,Corporate Sponsored PAC,4/23/2013,25,2013.0,Council At-Large
3,Anita Bonds ,Bonds for Council,Corporate Sponsored PAC,4/23/2013,5,2013.0,Council At-Large
4,Anita Bonds ,Bonds for Council,Labor Sponsored PAC,5/1/2013,1,2013.0,Council At-Large
5,Anita Bonds ,Bonds for Council,Individual,1/28/2013,25,2013.0,Council At-Large
6,Anita Bonds ,Bonds for Council,Corporation,1/28/2013,1,2013.0,Council At-Large
7,Anita Bonds ,Bonds for Council,Individual,1/28/2013,3,2013.0,Council At-Large
8,Anita Bonds ,Bonds for Council,Individual,1/21/2013,1,2013.0,Council At-Large
9,Anita Bonds ,Bonds for Council,Individual,1/29/2013,5,2013.0,Council At-Large
10,Anita Bonds ,Bonds for Council,Individual,1/28/2013,5,2013.0,Council At-Large
11,Anita Bonds ,Bonds for Council,Individual,1/28/2013,2,2013.0,Council At-Large
12,Anita Bonds ,Bonds for Council,Corporation,1/28/2013,2,2013.0,Council At-Large
13,Anita Bonds ,Bonds for Council,Individual,1/27/2013,1,2013.0,Council At-Large
14,Anita Bonds ,Bonds for Council,Corporation,1/28/2013,1,2013.0,Council At-Large
15,Anita Bonds ,Bonds for Council,Individual,1/30/2013,5,2013.0,Council At-Large
16,Anita Bonds ,Bonds for Council,Corporation,1/30/2013,1,2013.0,Council At-Large
17,Anita Bonds ,Bonds for Council,Individual,1/27/2013,5,2013.0,Council At-Large
18,Anita Bonds ,Bonds for Council,Individual,1/15/2013,1,2013.0,Council At-Large
19,Anita Bonds ,Bonds for Council,Individual,1/29/2013,1,2013.0,Council At-Large
20,Anita Bonds ,Bonds for Council,Corporation,1/30/2013,1,2013.0,Council At-Large
21,Anita Bonds ,Bonds for Council,Individual,1/8/2013,2,2013.0,Council At-Large
22,Anita Bonds ,Bonds for Council,Corporate Sponsored PAC,1/31/2013,1,2013.0,Council At-Large
23,Anita Bonds ,Bonds for Council,Corporate Sponsored PAC,1/30/2013,5,2013.0,Council At-Large
24,Anita Bonds ,Bonds for Council,Candidate,1/3/2013,1,2013.0,Council At-Large
25,Anita Bonds ,Bonds for Council,Candidate,3/10/2013,8,2013.0,Council At-Large
26,Anita Bonds ,Bonds for Council,Candidate,3/4/2013,6,2013.0,Council At-Large
27,Anita Bonds ,Bonds for Council,Candidate,3/10/2013,675,2013.0,Council At-Large
28,Anita Bonds ,Bonds for Council,Individual,3/5/2013,1,2013.0,Council At-Large
29,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
30,Anita Bonds ,Bonds for Council,Individual,3/9/2013,51,2013.0,Council At-Large
31,Anita Bonds ,Bonds for Council,Individual,2/22/2013,25,2013.0,Council At-Large
32,Anita Bonds ,Bonds for Council,Individual,2/22/2013,1,2013.0,Council At-Large
33,Anita Bonds ,Bonds for Council,Individual,3/8/2013,51,2013.0,Council At-Large
34,Anita Bonds ,Bonds for Council,Individual,2/16/2013,1,2013.0,Council At-Large
35,Anita Bonds ,Bonds for Council,Individual,3/7/2013,2,2013.0,Council At-Large
36,Anita Bonds ,Bonds for Council,Individual,2/6/2013,5,2013.0,Council At-Large
37,Anita Bonds ,Bonds for Council,Individual,3/10/2013,3,2013.0,Council At-Large
38,Anita Bonds ,Bonds for Council,Individual,2/22/2013,25,2013.0,Council At-Large
39,Anita Bonds ,Bonds for Council,Individual,3/8/2013,5,2013.0,Council At-Large
40,Anita Bonds ,Bonds for Council,Individual,2/11/2013,5,2013.0,Council At-Large
41,Anita Bonds ,Bonds for Council,Individual,5/30/2013,5,2013.0,Council At-Large
42,Anita Bonds ,Bonds for Council,Individual,2/8/2013,5,2013.0,Council At-Large
43,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
44,Anita Bonds ,Bonds for Council,Individual,3/10/2013,1,2013.0,Council At-Large
45,Anita Bonds ,Bonds for Council,Individual,2/22/2013,1,2013.0,Council At-Large
46,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
47,Anita Bonds ,Bonds for Council,Individual,3/9/2013,25,2013.0,Council At-Large
48,Anita Bonds ,Bonds for Council,Individual,3/9/2013,6,2013.0,Council At-Large
49,Anita Bonds ,Bonds for Council,Individual,3/10/2013,1,2013.0,Council At-Large
50,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
51,Anita Bonds ,Bonds for Council,Individual,3/8/2013,4,2013.0,Council At-Large
52,Anita Bonds ,Bonds for Council,Individual,2/11/2013,5,2013.0,Council At-Large
53,Anita Bonds ,Bonds for Council,Individual,2/13/2013,1,2013.0,Council At-Large
54,Anita Bonds ,Bonds for Council,Individual,3/9/2013,6,2013.0,Council At-Large
55,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
56,Anita Bonds ,Bonds for Council,Individual,3/9/2013,25,2013.0,Council At-Large
57,Anita Bonds ,Bonds for Council,Individual,3/9/2013,102,2013.0,Council At-Large
58,Anita Bonds ,Bonds for Council,Individual,3/8/2013,1,2013.0,Council At-Large
59,Anita Bonds ,Bonds for Council,Individual,3/10/2013,102,2013.0,Council At-Large
60,Anita Bonds ,Bonds for Council,Individual,3/7/2013,25,2013.0,Council At-Large
61,Anita Bonds ,Bonds for Council,Individual,3/10/2013,25,2013.0,Council At-Large
62,Anita Bonds ,Bonds for Council,Individual,3/10/2013,5,2013.0,Council At-Large
63,Anita Bonds ,Bonds for Council,Individual,2/13/2013,25,2013.0,Council At-Large
64,Anita Bonds ,Bonds for Council,Individual,2/22/2013,5,2013.0,Council At-Large
65,Anita Bonds ,Bonds for Council,Corporation,2/22/2013,25,2013.0,Council At-Large
66,Anita Bonds ,Bonds for Council,Business,3/8/2013,1,2013.0,Council At-Large
67,Anita Bonds ,Bonds for Council,Corporation,3/10/2013,1,2013.0,Council At-Large
68,Anita Bonds ,Bonds for Council,Individual,3/7/2013,51,2013.0,Council At-Large
69,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,5,2013.0,Council At-Large
70,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,75,2013.0,Council At-Large
71,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
72,Anita Bonds ,Bonds for Council,Individual,3/5/2013,102,2013.0,Council At-Large
73,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,8,2013.0,Council At-Large
74,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
75,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
76,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
77,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
78,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
79,Anita Bonds ,Bonds for Council,Individual,3/7/2013,75,2013.0,Council At-Large
80,Anita Bonds ,Bonds for Council,Individual,3/7/2013,5,2013.0,Council At-Large
81,Anita Bonds ,Bonds for Council,Individual,2/11/2013,25,2013.0,Council At-Large
82,Anita Bonds ,Bonds for Council,Individual,3/10/2013,5,2013.0,Council At-Large
83,Anita Bonds ,Bonds for Council,Individual,2/22/2013,5,2013.0,Council At-Large
84,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
85,Anita Bonds ,Bonds for Council,Individual,3/10/2013,1,2013.0,Council At-Large
86,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,2,2013.0,Council At-Large
87,Anita Bonds ,Bonds for Council,Business,3/8/2013,2,2013.0,Council At-Large
88,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
89,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,1,2013.0,Council At-Large
90,Anita Bonds ,Bonds for Council,Corporation,3/8/2013,35,2013.0,Council At-Large
91,Anita Bonds ,Bonds for Council,Corporation,3/10/2013,1,2013.0,Council At-Large
92,Anita Bonds ,Bonds for Council,Individual,3/5/2013,3,2013.0,Council At-Large
93,Anita Bonds ,Bonds for Council,Individual,3/9/2013,5,2013.0,Council At-Large
94,Anita Bonds ,Bonds for Council,Individual,2/11/2013,5,2013.0,Council At-Large
95,Anita Bonds ,Bonds for Council,Individual,2/22/2013,25,2013.0,Council At-Large
96,Anita Bonds ,Bonds for Council,Individual,3/10/2013,5,2013.0,Council At-Large
97,Anita Bonds ,Bonds for Council,Individual,3/7/2013,25,2013.0,Council At-Large
98,Anita Bonds ,Bonds for Council,Individual,3/9/2013,25,2013.0,Council At-Large
99,Anita Bonds ,Bonds for Council,Individual,2/19/2013,1,2013.0,Council At-Large
100,Anita Bonds ,Bonds for Council,Individual,3/9/2013,5,2013.0,Council At-Large
101,Anita Bonds ,Bonds for Council,Individual,2/8/2013,1,2013.0,Council At-Large
102,Anita Bonds ,Bonds for Council,Individual,3/8/2013,51,2013.0,Council At-Large
103,Anita Bonds ,Bonds for Council,Individual,2/7/2013,5,2013.0,Council At-Large
104,Anita Bonds ,Bonds for Council,Individual,3/4/2013,102,2013.0,Council At-Large
105,Anita Bonds ,Bonds for Council,Individual,5/31/2013,1,2013.0,Council At-Large
106,Anita Bonds ,Bonds for Council,Individual,2/15/2013,1,2013.0,Council At-Large
107,Anita Bonds ,Bonds for Council,Individual,2/22/2013,5,2013.0,Council At-Large
108,Anita Bonds ,Bonds for Council,Individual,3/10/2013,1,2013.0,Council At-Large
109,Anita Bonds ,Bonds for Council,Individual,3/2/2013,55,2013.0,Council At-Large
110,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
111,Anita Bonds ,Bonds for Council,Individual,3/10/2013,1,2013.0,Council At-Large
112,Anita Bonds ,Bonds for Council,Individual,3/10/2013,1,2013.0,Council At-Large
113,Anita Bonds ,Bonds for Council,Individual,3/9/2013,5,2013.0,Council At-Large
114,Anita Bonds ,Bonds for Council,Individual,3/10/2013,51,2013.0,Council At-Large
115,Anita Bonds ,Bonds for Council,Individual,4/23/2013,15,2013.0,Council At-Large
116,Anita Bonds ,Bonds for Council,Individual,2/22/2013,1,2013.0,Council At-Large
